vehicle,window,window_s,hop_s,representation,sensor_configuration,n_windows,n_operating_days,n_model_features,n_causal_replacements,n_unchanged_base_features,n_splits,n_estimators,accuracy,balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,weighted_f1,stationary_state_macro_f1,stationary_state_macro_f1_ci95_low,stationary_state_macro_f1_ci95_high,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1,charging_f1_ci95_low,charging_f1_ci95_high,charging_support,driving_precision,driving_recall,driving_f1,driving_f1_ci95_low,driving_f1_ci95_high,driving_support
Bus A,120s_hop60s,120,60,CAUSAL,A+M+G,99879,254,137,27,110,5,423,0.9027122818610519,0.8711409771007225,0.8535390551256644,0.8876812685041886,0.8653677888628573,0.8472948243941579,0.8820793488274677,0.9027485456486013,0.8208708685882561,0.7967535206940176,0.8431515296140826,0.8042963037668297,0.7611185340713876,0.7821119474342315,20956,0.8860063253426227,0.8673217570781173,0.8765644839470342,22287,0.7569582871908453,0.8571309145627821,0.8039361743835026,0.7688595096092717,0.8352416290517741,11962,0.9987244327082307,0.998992702690603,0.9988585496866607,0.9985622549358473,0.9991195800421964,44674
Bus A,120s_hop60s,120,60,CAUSAL,A+M,99879,254,95,18,77,5,423,0.9049650076592677,0.872058508017457,0.8548375828453887,0.8881009572746896,0.8681791650890611,0.8504882777542967,0.8840954490143802,0.9052511226467225,0.8247200595040408,0.801092369970439,0.8459506544792708,0.7982944910121614,0.7862187440351212,0.7922106022358456,20956,0.8966464834653004,0.8637770897832817,0.8799049294969947,22287,0.7677957030354002,0.839491723792008,0.802044646779282,0.7660197579264347,0.8346723498396957,11962,0.9983665615000783,0.9987464744594171,0.9985564818441224,0.9982151652789801,0.9988435736463919,44674
Bus A,120s_hop60s,120,60,CAUSAL,A+G,99879,254,96,18,78,5,423,0.8916889436217823,0.8564551675357451,0.8384106201032754,0.8736515332039295,0.851694271039266,0.8331002989470587,0.869450804169344,0.8913997975449065,0.8026208481941732,0.7777889131106598,0.8263760174619815,0.7804865661029001,0.7332983393777438,0.7561569688768606,20956,0.8524648992957431,0.8526943958361377,0.8525796321220278,22287,0.7614324651726226,0.8407456946998829,0.7991259435836313,0.764464621466166,0.8317937637964185,11962,0.9987468952091119,0.9990822402292161,0.9989145395745442,0.9986293273420348,0.9991617201156099,44674
Bus A,120s_hop60s,120,60,CAUSAL,A,99879,254,54,9,45,5,423,0.8946325053314511,0.8611011981699659,0.8441155055449737,0.878124734507218,0.8559499090526324,0.8380559254028919,0.8727474450447615,0.8945633045214719,0.8084181310887004,0.7845773823809058,0.8308452026490392,0.7826108669596484,0.747804924603932,0.764812103465105,20956,0.8661626575028637,0.8482074752097636,0.8570910409865796,22287,0.7618048268625394,0.8496906871760576,0.8033512488144167,0.7674545136083405,0.8345073283356343,11962,0.9983888292158969,0.9987017056901106,0.9985452429444283,0.998234558311667,0.9988219203700709,44674
Bus A,120s_hop60s,120,60,CAUSAL,M+G,99879,254,83,18,65,5,423,0.8627339080287147,0.8130881401483764,0.7923636038846072,0.8320477789801306,0.8092291831123517,0.7891575498425376,0.8277362117623934,0.8630197195213709,0.746489327072847,0.7197790892534585,0.7711295832815513,0.7664631377100469,0.7248043519755678,0.7450518725627253,20956,0.7929066449245822,0.7854354556467896,0.7891533675953476,22287,0.6700022571665036,0.7444407289750877,0.705262741060468,0.6607870788137712,0.7423103255853882,11962,0.9972255783774109,0.9976720239960604,0.9974487512308656,0.9969014020247582,0.9979401440435527,44674
Bus A,120s_hop60s,120,60,CAUSAL,M,99879,254,41,9,32,5,423,0.8296438690815887,0.774342234816209,0.7537609182809529,0.7941279630440301,0.7699059075967958,0.7492464067112501,0.789482822121817,0.8299962585997598,0.6988737574657992,0.6715172824871231,0.7246814875593062,0.7328876471762124,0.7009925558312655,0.7165853658536585,20956,0.7382468627083724,0.7074079059541437,0.7224984533602181,22287,0.6164594001463057,0.7044808560441398,0.6575374531835206,0.6128851188224326,0.6956493755545111,11962,0.9815215693275905,0.9844876214352868,0.9830023579897857,0.9804528709205141,0.9852057355992452,44674
Bus A,120s_hop60s,120,60,CAUSAL,G,99879,254,42,9,33,5,423,0.8192112456071847,0.7510223597188321,0.7314752374423807,0.7696457713691599,0.7470443492729961,0.7278936938898383,0.7645903516262265,0.8202748968671175,0.6635054955832088,0.6379422188399583,0.6868785756564384,0.7070029117110004,0.6836228287841191,0.6951163298478857,20956,0.7265402843601896,0.6878449320231526,0.7066632862378132,22287,0.548811330298432,0.6349272696873433,0.5887368706639278,0.5488009927975049,0.6251620977131058,11962,0.9976274145533496,0.9976944083807137,0.9976609103423577,0.997152141375528,0.9981288144874283,44674
