vehicle,window,representation,sensor_configuration,true_class,predicted_class,count
Bus B,120s_hop60s,CAUSAL,A+M,Driving,Driving,5559
Bus B,120s_hop60s,CAUSAL,A+G,Stationary off,Stationary off,903
Bus B,120s_hop60s,CAUSAL,A+G,Stationary off,Stationary on,113
Bus B,120s_hop60s,CAUSAL,A+G,Stationary off,Charging,1
Bus B,120s_hop60s,CAUSAL,A+G,Stationary off,Driving,16
Bus B,120s_hop60s,CAUSAL,A+G,Stationary on,Stationary off,56
Bus B,120s_hop60s,CAUSAL,A+G,Stationary on,Stationary on,3187
Bus B,120s_hop60s,CAUSAL,A+G,Stationary on,Charging,254
Bus B,120s_hop60s,CAUSAL,A+G,Stationary on,Driving,18
Bus B,120s_hop60s,CAUSAL,A+G,Charging,Stationary off,20
Bus B,120s_hop60s,CAUSAL,A+G,Charging,Stationary on,870
Bus B,120s_hop60s,CAUSAL,A+G,Charging,Charging,2272
Bus B,120s_hop60s,CAUSAL,A+G,Charging,Driving,0
Bus B,120s_hop60s,CAUSAL,A+G,Driving,Stationary off,21
Bus B,120s_hop60s,CAUSAL,A+G,Driving,Stationary on,22
Bus B,120s_hop60s,CAUSAL,A+G,Driving,Charging,0
Bus B,120s_hop60s,CAUSAL,A+G,Driving,Driving,5568
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary off,Stationary off,896
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary off,Stationary on,116
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary off,Charging,2
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary off,Driving,19
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary on,Stationary off,84
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary on,Stationary on,3232
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary on,Charging,182
Bus B,120s_hop60s,CAUSAL,A+M+G,Stationary on,Driving,17
Bus B,120s_hop60s,CAUSAL,A+M+G,Charging,Stationary off,141
Bus B,120s_hop60s,CAUSAL,A+M+G,Charging,Stationary on,723
Bus B,120s_hop60s,CAUSAL,A+M+G,Charging,Charging,2298
Bus B,120s_hop60s,CAUSAL,A+M+G,Charging,Driving,0
Bus B,120s_hop60s,CAUSAL,A+M+G,Driving,Stationary off,23
Bus B,120s_hop60s,CAUSAL,A+M+G,Driving,Stationary on,23
Bus B,120s_hop60s,CAUSAL,A+M+G,Driving,Charging,0
Bus B,120s_hop60s,CAUSAL,A+M+G,Driving,Driving,5565
