feature_name,feature_type,modality,axis,domain,descriptor_family,magnetic_analysis_group,statistic,frequency_band,unit,source_feature,used_for_causal_centering,is_causal_derived,included_in_raw_representation,included_in_causal_representation,description
gyry_p95,base,gyroscope,y,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the angular-rate Y axis.
gyry_mad,base,gyroscope,y,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the angular-rate Y axis.
gyry_rms,base,gyroscope,y,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the angular-rate Y axis.
gyry_diff_mean,base,gyroscope,y,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the angular-rate Y axis.
gyry_diff_std,base,gyroscope,y,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the angular-rate Y axis.
gyrz_mean,base,gyroscope,z,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,True,False,True,False,mean of the angular-rate Z axis.
gyrz_std,base,gyroscope,z,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the angular-rate Z axis.
gyrz_median,base,gyroscope,z,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,True,False,True,False,median of the angular-rate Z axis.
gyrz_iqr,base,gyroscope,z,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the angular-rate Z axis.
gyrz_p95,base,gyroscope,z,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the angular-rate Z axis.
gyrz_mad,base,gyroscope,z,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the angular-rate Z axis.
gyrz_rms,base,gyroscope,z,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the angular-rate Z axis.
gyrz_diff_mean,base,gyroscope,z,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the angular-rate Z axis.
gyrz_diff_std,base,gyroscope,z,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the angular-rate Z axis.
magx_raw_std,base,magnetometer,x,time,variability,variability_dynamics,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the magnetic-field X axis.
magx_raw_iqr,base,magnetometer,x,time,variability,variability_dynamics,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the magnetic-field X axis.
magx_raw_p95,base,magnetometer,x,time,level_or_amplitude,level_amplitude,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the magnetic-field X axis.
magx_raw_mad,base,magnetometer,x,time,variability,variability_dynamics,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the magnetic-field X axis.
magx_raw_rms,base,magnetometer,x,time,level_or_amplitude,level_amplitude,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the magnetic-field X axis.
magx_raw_abs_mean,base,magnetometer,x,time,level_or_amplitude,level_amplitude,mean absolute value,,not_encoded_in_source_manifest,,True,False,True,False,mean absolute value of the magnetic-field X axis.
magx_raw_abs_p95,base,magnetometer,x,time,level_or_amplitude,level_amplitude,95th percentile of absolute value,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of absolute value of the magnetic-field X axis.
