feature_name,feature_type,modality,axis,domain,descriptor_family,magnetic_analysis_group,statistic,frequency_band,unit,source_feature,used_for_causal_centering,is_causal_derived,included_in_raw_representation,included_in_causal_representation,description
acc_norm_power_1_2,base,accelerometer,norm,frequency,spectral,not_applicable,spectral power in 1.0-2.0 Hz band,1.0-2.0 Hz,not_encoded_in_source_manifest,,False,False,True,True,spectral power in 1.0-2.0 Hz band computed from the acceleration vector norm.
acc_norm_spec_entropy,base,accelerometer,norm,frequency,spectral,not_applicable,spectral entropy,,dimensionless,,False,False,True,True,spectral entropy computed from the acceleration vector norm.
acc_norm_dom_freq,base,accelerometer,norm,frequency,spectral,not_applicable,dominant frequency,,Hz,,False,False,True,True,dominant frequency computed from the acceleration vector norm.
gyr_norm_mean,base,gyroscope,norm,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,False,False,True,True,mean of the angular-rate vector norm.
gyr_norm_std,base,gyroscope,norm,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the angular-rate vector norm.
gyr_norm_median,base,gyroscope,norm,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,False,False,True,True,median of the angular-rate vector norm.
gyr_norm_iqr,base,gyroscope,norm,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the angular-rate vector norm.
gyr_norm_p95,base,gyroscope,norm,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,False,False,True,True,95th percentile of the angular-rate vector norm.
gyr_norm_mad,base,gyroscope,norm,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the angular-rate vector norm.
gyr_norm_rms,base,gyroscope,norm,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the angular-rate vector norm.
gyr_norm_diff_mean,base,gyroscope,norm,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the angular-rate vector norm.
gyr_norm_diff_std,base,gyroscope,norm,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the angular-rate vector norm.
gyr_norm_power_total,base,gyroscope,norm,frequency,spectral,not_applicable,total spectral power,full analyzed spectrum,not_encoded_in_source_manifest,,False,False,True,True,total spectral power computed from the angular-rate vector norm.
gyr_norm_power_01_05,base,gyroscope,norm,frequency,spectral,not_applicable,spectral power in 0.1-0.5 Hz band,0.1-0.5 Hz,not_encoded_in_source_manifest,,False,False,True,True,spectral power in 0.1-0.5 Hz band computed from the angular-rate vector norm.
gyr_norm_power_05_10,base,gyroscope,norm,frequency,spectral,not_applicable,spectral power in 0.5-1.0 Hz band,0.5-1.0 Hz,not_encoded_in_source_manifest,,False,False,True,True,spectral power in 0.5-1.0 Hz band computed from the angular-rate vector norm.
gyr_norm_power_1_2,base,gyroscope,norm,frequency,spectral,not_applicable,spectral power in 1.0-2.0 Hz band,1.0-2.0 Hz,not_encoded_in_source_manifest,,False,False,True,True,spectral power in 1.0-2.0 Hz band computed from the angular-rate vector norm.
gyr_norm_spec_entropy,base,gyroscope,norm,frequency,spectral,not_applicable,spectral entropy,,dimensionless,,False,False,True,True,spectral entropy computed from the angular-rate vector norm.
gyr_norm_dom_freq,base,gyroscope,norm,frequency,spectral,not_applicable,dominant frequency,,Hz,,False,False,True,True,dominant frequency computed from the angular-rate vector norm.
mag_raw_norm_mean,base,magnetometer,norm,time,level_or_amplitude,level_amplitude,mean,,not_encoded_in_source_manifest,,False,False,True,True,mean of the magnetic-field vector norm.
mag_raw_norm_std,base,magnetometer,norm,time,variability,variability_dynamics,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the magnetic-field vector norm.
mag_raw_norm_iqr,base,magnetometer,norm,time,variability,variability_dynamics,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the magnetic-field vector norm.
mag_raw_norm_p95,base,magnetometer,norm,time,level_or_amplitude,level_amplitude,95th percentile,,not_encoded_in_source_manifest,,False,False,True,True,95th percentile of the magnetic-field vector norm.
mag_raw_norm_mad,base,magnetometer,norm,time,variability,variability_dynamics,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the magnetic-field vector norm.
mag_raw_norm_rms,base,magnetometer,norm,time,level_or_amplitude,level_amplitude,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the magnetic-field vector norm.
mag_raw_norm_range,base,magnetometer,norm,time,variability,variability_dynamics,range,,not_encoded_in_source_manifest,,False,False,True,True,range of the magnetic-field vector norm.
mag_raw_norm_diff_std,base,magnetometer,norm,temporal_difference,dynamic,variability_dynamics,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the magnetic-field vector norm.
mag_raw_norm_power_total,base,magnetometer,norm,frequency,spectral,variability_dynamics,total spectral power,full analyzed spectrum,not_encoded_in_source_manifest,,False,False,True,True,total spectral power computed from the magnetic-field vector norm.
mag_raw_norm_power_01_05,base,magnetometer,norm,frequency,spectral,variability_dynamics,spectral power in 0.1-0.5 Hz band,0.1-0.5 Hz,not_encoded_in_source_manifest,,False,False,True,True,spectral power in 0.1-0.5 Hz band computed from the magnetic-field vector norm.
mag_raw_norm_spec_entropy,base,magnetometer,norm,frequency,spectral,variability_dynamics,spectral entropy,,dimensionless,,False,False,True,True,spectral entropy computed from the magnetic-field vector norm.
mag_raw_corr_xy,base,magnetometer,xy,cross_axis_correlation,correlation,variability_dynamics,x-y correlation,,dimensionless,,False,False,True,True,x-y correlation of the magnetic-field axes XY.
mag_raw_corr_xz,base,magnetometer,xz,cross_axis_correlation,correlation,variability_dynamics,x-z correlation,,dimensionless,,False,False,True,True,x-z correlation of the magnetic-field axes XZ.
mag_raw_corr_yz,base,magnetometer,yz,cross_axis_correlation,correlation,variability_dynamics,y-z correlation,,dimensionless,,False,False,True,True,y-z correlation of the magnetic-field axes YZ.
accx_mean__causal_exp_1min,causal_derived,accelerometer,x,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,accx_mean,False,True,False,True,"mean of the acceleration X axis, after past-only within-day median centering."
accx_median__causal_exp_1min,causal_derived,accelerometer,x,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,accx_median,False,True,False,True,"median of the acceleration X axis, after past-only within-day median centering."
accx_p95__causal_exp_1min,causal_derived,accelerometer,x,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,accx_p95,False,True,False,True,"95th percentile of the acceleration X axis, after past-only within-day median centering."
accy_mean__causal_exp_1min,causal_derived,accelerometer,y,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,accy_mean,False,True,False,True,"mean of the acceleration Y axis, after past-only within-day median centering."
