bus_b_orientation,bus_b_orientation_role,orientation_vehicle,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,partition_id,budget_k_days,subset_repeat,uses_target_adaptation,normalizer_fit_days,adaptation_days,test_days,test_rows,test_service_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,adaptation_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_macro_f1,objective_score,apagado_precision,apagado_recall,apagado_f1,apagado_support,encendido_precision,encendido_recall,encendido_f1,encendido_support,recarga_principal_precision,recarga_principal_recall,recarga_principal_f1,recarga_principal_support,movimiento_precision,movimiento_recall,driving_f1,movimiento_support,stationary_macro_f1,charging_f1,control_role,feature_dimension,source_quantile_n_requested,source_quantile_n_effective,causal_warmup_rows_source,causal_warmup_rows_target,subset_seed_index,subset_rng_seed,subset_attempts,subset_resamples,subset_retained_windows,target_quantile_n_requested,target_quantile_n_effective,coral_n_adaptation_rows,coral_n_features,coral_n_minus_d,coral_rows_per_feature,coral_regularized_cov_min_eigenvalue,coral_regularized_cov_max_eigenvalue,coral_regularized_cov_condition_number
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,1,0,0,False,0,,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,0,0.0,0.0,0.0,0.7129994372537986,0.6799214483236875,0.6222564259183694,0.5228604923798359,0.9646635156425838,0.5081207293436312,0.5824980525029559,0.278,0.776536312849162,0.4094256259204712,358,0.6371077762619373,0.5529899348727058,0.5920760697305864,1689,0.7810858143607706,0.3929515418502202,0.5228604923798359,1135,0.9341761115954664,0.9972080037226616,0.9646635156425838,2149,0.5081207293436312,0.5228604923798359,NO_POOL_CONTROL,95,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,1,0,0,False,0,,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,0,0.0,0.0,0.0,0.7356968673794785,0.6509019450440273,0.6221065120480295,0.4933184855233853,0.973181818181818,0.5050814100034332,0.5705913014381718,0.1881091617933723,0.5391061452513967,0.2789017341040462,358,0.8219669777458722,0.6779159265837774,0.7430240103828682,1689,0.670196671709531,0.3903083700440529,0.4933184855233853,1135,0.9511328298533984,0.9962773382968824,0.973181818181818,2149,0.5050814100034332,0.4933184855233853,NO_POOL_CONTROL,95,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,2,0,0,False,0,,2025-04-01|2025-04-04|2025-04-09|2025-04-17|2025-04-28|2025-05-12|2025-05-27|2025-05-29|2025-06-05|2025-06-11|2025-06-12|2025-06-26,4710,12,0,0.0,0.0,0.0,0.6585987261146496,0.5878343918709523,0.5684937417577187,0.4381560931081698,0.9739033870072182,0.4333571933412189,0.5163586822978992,0.1970046082949308,0.3995327102803738,0.2638888888888889,428,0.5886824324324325,0.6076721883173496,0.5980265980265981,1147,0.584652862362972,0.3503649635036496,0.4381560931081698,1370,0.954817637452368,0.9937677053824364,0.9739033870072182,1765,0.4333571933412189,0.4381560931081698,NO_POOL_CONTROL,95,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,2,0,0,False,0,,2025-04-01|2025-04-04|2025-04-09|2025-04-17|2025-04-28|2025-05-12|2025-05-27|2025-05-29|2025-06-05|2025-06-11|2025-06-12|2025-06-26,4710,12,0,0.0,0.0,0.0,0.7966029723991508,0.7884069703898933,0.7453213494218427,0.7284372331340735,0.977976024533036,0.667769791051445,0.738567702906735,0.419612314709236,0.8598130841121495,0.563984674329502,428,0.7478344562078922,0.6774193548387096,0.7108874656907593,1147,0.8775720164609053,0.6226277372262774,0.7284372331340735,1370,0.9626783754116356,0.9937677053824364,0.977976024533036,1765,0.667769791051445,0.7284372331340735,NO_POOL_CONTROL,95,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,3,0,0,False,0,,2025-04-01|2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-21|2025-05-27|2025-05-29|2025-05-30|2025-06-03|2025-06-12|2025-06-26,2941,12,0,0.0,0.0,0.0,0.7817069024141449,0.7595948648699224,0.7237131871506386,0.6565400843881857,0.9676145339652448,0.6424127382124365,0.6968439460456575,0.3511450381679389,0.8706624605678234,0.5004533091568449,317,0.8739316239316239,0.6885521885521886,0.7702448210922788,594,0.9676616915422884,0.4968071519795657,0.6565400843881857,783,0.953307392996109,0.9823576583801122,0.9676145339652448,1247,0.6424127382124365,0.6565400843881857,NO_POOL_CONTROL,95,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,3,0,0,False,0,,2025-04-01|2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-21|2025-05-27|2025-05-29|2025-05-30|2025-06-03|2025-06-12|2025-06-26,2941,12,0,0.0,0.0,0.0,0.8643318599115947,0.8259830869788776,0.8198246357461255,0.8545706371191135,0.9770750988142292,0.7674078147234242,0.8337230362953207,0.6831955922865014,0.7823343848580442,0.7294117647058823,317,0.695583596214511,0.7424242424242424,0.7182410423452769,594,0.9334341906202724,0.7879948914431673,0.8545706371191135,783,0.9633671083398284,0.9911788291900562,0.9770750988142292,1247,0.7674078147234242,0.8545706371191135,NO_POOL_CONTROL,95,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,4,0,0,False,0,,2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-17|2025-05-16|2025-05-28|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,5358,12,0,0.0,0.0,0.0,0.6606942889137738,0.576014404870969,0.5572900695747943,0.4010791366906475,0.9640120733689342,0.421716068310081,0.4948056964211356,0.2117117117117117,0.4008528784648187,0.2770817980840088,469,0.5828651685393258,0.5911680911680912,0.5869872701555869,1404,0.5354141656662665,0.3206326383896477,0.4010791366906475,1391,0.9380930863081788,0.991404011461318,0.9640120733689342,2094,0.421716068310081,0.4010791366906475,NO_POOL_CONTROL,95,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,4,0,0,False,0,,2025-04-03|2025-04-07|2025-04-09|2025-04-14|2025-04-17|2025-05-16|2025-05-28|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,5358,12,0,0.0,0.0,0.0,0.7603583426651735,0.7343731154051356,0.6912686091773865,0.615948670944088,0.975005839757066,0.5966895323174933,0.6611406338840671,0.3327289211242067,0.7825159914712153,0.4669211195928753,469,0.7423649177760376,0.6752136752136753,0.7071988064155166,1404,0.8495575221238938,0.4831056793673616,0.615948670944088,1391,0.9542752629172382,0.9966571155682904,0.975005839757066,2094,0.5966895323174933,0.615948670944088,NO_POOL_CONTROL,95,1000,1000,254.0,12.0,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,5,0,0,False,0,,2025-04-03|2025-04-04|2025-04-11|2025-04-30|2025-05-12|2025-05-27|2025-05-29|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,4946,12,0,0.0,0.0,0.0,0.6898503841488072,0.6209383475553374,0.5708434653005134,0.5084937712344281,0.96183563568251,0.4405127418398479,0.5459035876740793,0.1714285714285714,0.5822784810126582,0.2648752399232246,237,0.5836487509462528,0.5167560321715817,0.5481692143618913,1492,0.7336601307189542,0.3890814558058925,0.5084937712344281,1154,0.9302536231884058,0.9956374212312168,0.96183563568251,2063,0.4405127418398479,0.5084937712344281,NO_POOL_CONTROL,95,1000,1000,,,,,,,,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,5,0,0,False,0,,2025-04-03|2025-04-04|2025-04-11|2025-04-30|2025-05-12|2025-05-27|2025-05-29|2025-06-02|2025-06-05|2025-06-11|2025-06-13|2025-06-26,4946,12,0,0.0,0.0,0.0,0.7434290335624747,0.6352564688831601,0.6152996422614745,0.590626764539808,0.9713880349964532,0.496603511349815,0.6054304911728079,0.11441647597254,0.4219409282700422,0.18001800180018,237,0.7757951900698216,0.6702412868632708,0.7191657677094571,1492,0.8476499189627229,0.4532062391681109,0.590626764539808,1154,0.948291782086796,0.9956374212312168,0.9713880349964532,2063,0.496603511349815,0.590626764539808,NO_POOL_CONTROL,95,1000,1000,254.0,12.0,,,,,,,,,,,,,,
