bus_b_orientation,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_test_splits,accuracy_splitmedian_p10,accuracy_splitmedian_p50,accuracy_splitmedian_p90,balanced_accuracy_splitmedian_p10,balanced_accuracy_splitmedian_p50,balanced_accuracy_splitmedian_p90,macro_f1_splitmedian_p10,macro_f1_splitmedian_p50,macro_f1_splitmedian_p90,stationary_macro_f1_splitmedian_p10,stationary_macro_f1_splitmedian_p50,stationary_macro_f1_splitmedian_p90,stationary_macro_f1_splitmedian_p10,stationary_macro_f1_splitmedian_p50,stationary_macro_f1_splitmedian_p90,charging_f1_splitmedian_p10,charging_f1_splitmedian_p50,charging_f1_splitmedian_p90,charging_f1_splitmedian_p10,charging_f1_splitmedian_p50,charging_f1_splitmedian_p90,driving_f1_splitmedian_p10,driving_f1_splitmedian_p50,driving_f1_splitmedian_p90,driving_f1_splitmedian_p10,driving_f1_splitmedian_p50,driving_f1_splitmedian_p90,objective_score_splitmedian_p10,objective_score_splitmedian_p50,objective_score_splitmedian_p90,adaptation_rows_splitmedian_p10,adaptation_rows_splitmedian_p50,adaptation_rows_splitmedian_p90,adaptation_hours_splitmedian_p10,adaptation_hours_splitmedian_p50,adaptation_hours_splitmedian_p90,adaptation_window_hours_splitmedian_p10,adaptation_window_hours_splitmedian_p50,adaptation_window_hours_splitmedian_p90,adaptation_span_hours_splitmedian_p10,adaptation_span_hours_splitmedian_p50,adaptation_span_hours_splitmedian_p90
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,RAW,FIVE_PARTITION_UNLABELED_BUDGET,0,5,0.7568456636508596,0.8105539830165791,0.8521204062052641,0.7094671854660166,0.7504132400083945,0.8011240827134457,0.6768613437385501,0.7071427439068834,0.7934599717939417,0.5805763374075296,0.6202064267728874,0.7329741425609329,0.5805763374075296,0.6202064267728874,0.7329741425609329,0.6986797806956592,0.7950138504155124,0.865902641077371,0.6986797806956592,0.7950138504155124,0.865902641077371,0.9652562393183368,0.9679516953088714,0.9749174594929684,0.9652562393183368,0.9679516953088714,0.9749174594929684,0.6867114821561011,0.7632568647160556,0.8129280045903178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,0,5,0.6898234415081872,0.7202314296379246,0.829379235365587,0.5859725201190659,0.6332761648200694,0.7709002601788816,0.568913576199331,0.6288588996523734,0.7624399124693972,0.4338217109179291,0.5131651325739502,0.6903177781721767,0.4338217109179291,0.5131651325739502,0.6903177781721767,0.4565655924585832,0.6140440799589953,0.8302666586649063,0.4565655924585832,0.6140440799589953,0.8302666586649063,0.9738008267953912,0.9759402008876432,0.9790833362286184,0.9738008267953912,0.9759402008876432,0.9790833362286184,0.5255160246748278,0.6190788668455323,0.7895706109476008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,0.5817901360167516,0.5890076908647534,0.6144401549497972,0.5486323929223982,0.6082892030570036,0.6122498700314428,0.428388531770734,0.4810116968184487,0.4960993104744071,0.2462699538228543,0.3145622933843506,0.3394192992844796,0.2462699538228543,0.3145622933843506,0.3394192992844796,0.0005706136997145,0.0017138073839104,0.0061605790141174,0.0005706136997145,0.0017138073839104,0.0061605790141174,0.9658700988846104,0.9746451713411168,0.9775909047817168,0.9658700988846104,0.9746451713411168,0.9775909047817168,0.2588157852889458,0.2886070180910692,0.2988690113311036,695.0,736.5,741.9,13.20090777777778,13.435447222222225,13.907681055555557,11.583333333333334,12.275,12.365,14.883189722222223,15.772793472222222,17.122592805555552
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,0.5397628505993984,0.5888535031847133,0.6025712634866413,0.5463609807668582,0.5766903553797146,0.6228829747881293,0.4394153790613055,0.4707145264050084,0.4896392497444043,0.2862552687127164,0.3403685227939295,0.3685985362675498,0.2862552687127164,0.3403685227939295,0.3685985362675498,0.0129553620519902,0.0541236223159599,0.1359210109633596,0.0129553620519902,0.0541236223159599,0.1359210109633596,0.8275819133388204,0.9125479430219864,0.9194114016014144,0.8275819133388204,0.9125479430219864,0.9194114016014144,0.2723788961334666,0.3025659397677354,0.3530820868734233,695.0,736.5,741.9,13.20090777777778,13.435447222222225,13.907681055555557,11.583333333333334,12.275,12.365,14.883189722222223,15.772793472222222,17.122592805555552
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,5,0.5311071022167914,0.5386170642943793,0.5468377543669447,0.4606989624897957,0.5006904296492902,0.544942701418151,0.3876354486804007,0.4048442162483848,0.4499783380585714,0.2222604523374697,0.2682415043914208,0.2963129320701473,0.2222604523374697,0.2682415043914208,0.2963129320701473,0.0033521850899742,0.0097266602041671,0.0125485971667499,0.0033521850899742,0.0097266602041671,0.0125485971667499,0.8788537793817749,0.8930986508426837,0.910036076902464,0.8788537793817749,0.8930986508426837,0.910036076902464,0.2412621405710318,0.2508355361231299,0.2763988229494193,695.0,736.5,741.9,13.20090777777778,13.435447222222225,13.907681055555557,11.583333333333334,12.275,12.365,14.883189722222223,15.772793472222222,17.122592805555552
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,0.6411671520775208,0.6850990699555196,0.7178815177257414,0.520574451380451,0.5718395648408423,0.6589600175071386,0.4554311183981662,0.4757077331951994,0.6165813706749069,0.2863353294751452,0.3206884454732673,0.4985810885484052,0.2863353294751452,0.3206884454732673,0.4985810885484052,0.0003433476394849,0.0437956204379562,0.5519742466775551,0.0003433476394849,0.0437956204379562,0.5519742466775551,0.954125192634484,0.9678639056285484,0.974892349243792,0.954125192634484,0.9678639056285484,0.974892349243792,0.2808106788147985,0.3030950978985658,0.5874840673909874,1141.3,1361.0,1807.5,21.268327805555558,24.758099861111116,32.869359916666674,19.02166666666667,22.683333333333334,30.125,34.82972738888889,38.08004055555556,40.22354008333333
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,3,5,0.6426866816285848,0.6579880552444942,0.6979149077553501,0.5906341541594311,0.6361896950220599,0.7161623504332247,0.5069905119375077,0.5773691240118575,0.6360591565052819,0.3635646727768459,0.4822689789882177,0.544231169238498,0.3635646727768459,0.4822689789882177,0.544231169238498,0.1611252834729766,0.3537082556850012,0.5667419358408907,0.1611252834729766,0.3537082556850012,0.5667419358408907,0.8870609088442304,0.9319038519944116,0.9645908702356092,0.8870609088442304,0.9319038519944116,0.9645908702356092,0.3609224221544505,0.4991011397669886,0.6081151315363602,1141.3,1361.0,1807.5,21.268327805555558,24.758099861111116,32.869359916666674,19.02166666666667,22.683333333333334,30.125,34.82972738888889,38.08004055555556,40.22354008333333
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,3,5,0.5868577651098615,0.60183611016661,0.6389572220748413,0.500448009585163,0.5677525172459703,0.5979249295498927,0.4185143171474713,0.4794990320198412,0.5409939476632026,0.2558444826377867,0.3432108991995071,0.4179583120508926,0.2558444826377867,0.3432108991995071,0.4179583120508926,0.0338042748314985,0.0822786963325848,0.3524019101208195,0.0338042748314985,0.0822786963325848,0.3524019101208195,0.9025161640447296,0.9069535809436452,0.9138640602275292,0.9025161640447296,0.9069535809436452,0.9138640602275292,0.2695859957164124,0.3233763320425259,0.4617279003774398,1141.3,1361.0,1807.5,21.268327805555558,24.758099861111116,32.869359916666674,19.02166666666667,22.683333333333334,30.125,34.82972738888889,38.08004055555556,40.22354008333333
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,7,5,0.7352753080078422,0.7850788515972503,0.8219743789181653,0.6470601114753465,0.6784956948201344,0.7073285510102542,0.6312884611315175,0.6790472581824856,0.7070568464554752,0.5201728119318607,0.5830349079086004,0.6183585295346381,0.5201728119318607,0.5830349079086004,0.6183585295346381,0.5268277038755897,0.7283253084116577,0.7840293699158711,0.5268277038755897,0.7283253084116577,0.7840293699158711,0.9623560747881456,0.9685417993720296,0.9753120300596216,0.9623560747881456,0.9685417993720296,0.9753120300596216,0.588471640862016,0.710409850014095,0.7447916564578427,3118.0,3159.0,3728.5,58.45919441666667,59.28457500000003,70.85762594444446,51.96666666666667,52.65,62.14166666666667,79.82707983333333,81.92578222222221,90.36951019444444
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,7,5,0.7278655786486655,0.7657259435566135,0.7887079052493039,0.696157531477295,0.7507751527009734,0.7716346366865232,0.6386857632743065,0.6941826678151891,0.7240104898480875,0.5301716867469097,0.6162110284518522,0.6465558067955075,0.5301716867469097,0.6162110284518522,0.6465558067955075,0.5552173832634552,0.6915295597339697,0.7941692683673501,0.5552173832634552,0.6915295597339697,0.7941692683673501,0.9506720727182169,0.95656046363662,0.9710471692366934,0.9506720727182169,0.95656046363662,0.9710471692366934,0.6138009233869552,0.6919519364534854,0.742770421281446,3118.0,3159.0,3728.5,58.45919441666667,59.28457500000003,70.85762594444446,51.96666666666667,52.65,62.14166666666667,79.82707983333333,81.92578222222221,90.36951019444444
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,7,5,0.6668897380846002,0.6782377919320595,0.6909239714107877,0.6111885910727808,0.6235847208559145,0.6360419879300476,0.573984661347039,0.5825719270514057,0.6093288001333605,0.4607419954444083,0.4704426462597485,0.5088075600914368,0.4607419954444083,0.4704426462597485,0.5088075600914368,0.4311740729309001,0.4805261678113829,0.5947167551548261,0.4311740729309001,0.4805261678113829,0.5947167551548261,0.9049864338343662,0.9112071829204847,0.9216637546909758,0.9049864338343662,0.9112071829204847,0.9216637546909758,0.5214293093117194,0.5578572609608888,0.5906871420608051,3118.0,3159.0,3728.5,58.45919441666667,59.28457500000003,70.85762594444446,51.96666666666667,52.65,62.14166666666667,79.82707983333333,81.92578222222221,90.36951019444444
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,14,5,0.8193324956208095,0.8304670912951169,0.8512821436492012,0.6987102220357828,0.70374699556357,0.7341851036333401,0.701101656818532,0.7068709208848941,0.7337483019008052,0.6113029302753299,0.6195686514175942,0.65642137138525,0.6113029302753299,0.6195686514175942,0.65642137138525,0.7759421100847463,0.8128321461998509,0.8643862645029721,0.7759421100847463,0.8128321461998509,0.8643862645029721,0.9622805237740768,0.9688118973991768,0.9741810028207428,0.9622805237740768,0.9688118973991768,0.9741810028207428,0.7299220607952183,0.7515336596442417,0.7884554722055358,6021.5,6440.5,7518.2,112.67047713888884,120.79728791666663,138.44149127777774,100.35833333333332,107.34166666666668,125.30333333333334,155.049714,164.70108680555555,180.24895747222223
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,14,5,0.7596499840460716,0.8029723991507431,0.8288915046184615,0.7226315566083386,0.7871928543985511,0.8065274401191653,0.6748004781046777,0.741646662321717,0.7686598838003026,0.577262702751103,0.663812790054708,0.70194006796717,0.577262702751103,0.663812790054708,0.70194006796717,0.6193359033829402,0.7622356714882286,0.846258430509134,0.6193359033829402,0.7622356714882286,0.846258430509134,0.9670229726881852,0.972449299253804,0.9733301330654808,0.9670229726881852,0.972449299253804,0.9733301330654808,0.6558018307865772,0.7750840558614611,0.7791207735362514,6021.5,6440.5,7518.2,112.67047713888884,120.79728791666663,138.44149127777774,100.35833333333332,107.34166666666668,125.30333333333334,155.049714,164.70108680555555,180.24895747222223
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,14,5,0.7127821969430148,0.7406581740976645,0.7535556169451308,0.6628284471408221,0.6747894763681548,0.692195927548479,0.6311983950942823,0.6573358108440395,0.6671145592190468,0.540989033532627,0.5704305251688655,0.5854556562947344,0.540989033532627,0.5704305251688655,0.5854556562947344,0.6178160143166284,0.7187371408225183,0.7804238311292467,0.6178160143166284,0.7187371408225183,0.7804238311292467,0.9030102377528052,0.9159401420043696,0.9173496282941904,0.9030102377528052,0.9159401420043696,0.9173496282941904,0.6331024901646229,0.6818778879928185,0.7042105852826955,6021.5,6440.5,7518.2,112.67047713888884,120.79728791666663,138.44149127777774,100.35833333333332,107.34166666666668,125.30333333333334,155.049714,164.70108680555555,180.24895747222223
RECORDED,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,0.8193930239216499,0.8346072186836518,0.8594932307341594,0.6962862091108699,0.7099107281776054,0.7498666661883014,0.6955559000980722,0.7087980902761848,0.7530012577037859,0.6046842732861677,0.6227065411274365,0.6806286869838045,0.6046842732861677,0.6227065411274365,0.6806286869838045,0.7855174320470287,0.822998193859121,0.8814967589598931,0.7855174320470287,0.822998193859121,0.8814967589598931,0.963463208426846,0.9686119507091374,0.9743289293705576,0.963463208426846,0.9686119507091374,0.9743289293705576,0.7317162884436871,0.7560727394456437,0.8037616151117151,7973.8,8375.0,9672.4,149.09656916666663,158.7114808333332,178.50561349999998,132.89666666666668,139.58333333333334,161.20666666666668,206.65689111111112,212.34181361111115,235.39408666666668
