orientation,direction,source_vehicle,target_vehicle,sensor_configuration,method,protocol,target_adaptation_days,uses_target_adaptation,normalizer_fit_days,n_features,test_rows,test_operating_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_state_macro_f1,objective_score,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1.1,charging_support,driving_precision,driving_recall,driving_f1.1,driving_support,macro_f1_bootstrap_center,macro_f1_ci_low,macro_f1_ci_high,charging_f1_bootstrap_center,charging_f1_ci_low,charging_f1_ci_high,delta_macro_f1,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_charging_f1,delta_charging_f1_ci_low,delta_charging_f1_ci_high,causal_warmup_rows_source,causal_warmup_rows_target
RECORDED,Bus A to Bus B,Bus A,Bus B,A,RAW,INDUCTIVE_FIXED_TEST,18,False,0,54,7059,12,0,0.0,0.0,0.8501204136563253,0.7904300542756071,0.7452712720394685,0.8671454219030521,0.9779643231899265,0.6677069216559826,0.794020931984902,0.3333333333333333,0.6694214876033058,0.44505494505494503,242,0.8223538119911177,0.5957104557640751,0.6909203980099502,1865,0.8370883882149047,0.8994413407821229,0.8671454219030521,2148,0.9595058339052849,0.9971469329529244,0.9779643231899265,2804,0.7452712720394685,0.6405150647843565,0.8603635310176101,0.8671454219030521,0.6985095849176172,0.9545783086585912,0.0,0.0,0.0,0.0,0.0,0.0,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,ZSCORE,INDUCTIVE_FIXED_TEST,18,True,18,54,7059,12,6262,104.36666666666666,197.27287666666666,0.8804363224252727,0.6907145940126147,0.6923646886875563,0.8936170212765957,0.9796348314606742,0.5966079744298503,0.7728656217231721,0.1554054054054054,0.09504132231404959,0.11794871794871795,242,0.9176984705025492,0.675603217158177,0.7782581840642372,1865,0.8095238095238095,0.9972067039106145,0.8936170212765957,2148,0.9647302904564315,0.9950071326676176,0.9796348314606742,2804,0.6923646886875563,0.6458717726902994,0.7597054100890748,0.8936170212765957,0.82925758850065,0.940899617388063,-0.05290658335191223,-0.16581487667534303,0.060002480771757016,0.026471599373543597,-0.04679056983317017,0.15665664172747784,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,QUANTILE,INDUCTIVE_FIXED_TEST,18,True,18,54,7059,12,6262,104.36666666666666,197.27287666666666,0.7574727298484204,0.7018592621934407,0.6520453459872411,0.7354284179425195,0.9558605341246291,0.5507736166081117,0.6853985747693525,0.10138584974471189,0.5743801652892562,0.17234965902045876,242,0.8275409836065574,0.6766756032171581,0.744542772861357,1865,0.8692063492063492,0.6373370577281192,0.7354284179425195,2148,0.9957496136012365,0.9190442225392297,0.9558605341246291,2804,0.6520453459872411,0.5839182846417524,0.7427651482155692,0.7354284179425195,0.4765189169139466,0.9024712827127676,-0.09322592605222746,-0.20284614502169235,0.0010253463189931328,-0.13171700396053265,-0.3400013893345204,0.0009409530999369122,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,CORAL,INDUCTIVE_FIXED_TEST,18,True,18,54,7059,12,6262,104.36666666666666,197.27287666666666,0.8343958067714974,0.7080938512509789,0.6877330033501663,0.8705084745762712,0.9761188749336636,0.5916043794890006,0.7608431918406082,0.11854951185495119,0.3512396694214876,0.1772679874869656,242,0.9210526315789473,0.6005361930294906,0.727036676403765,1865,0.8458498023715415,0.8966480446927374,0.8705084745762712,2148,0.9684099684099684,0.9839514978601998,0.9761188749336636,2804,0.6877330033501664,0.6385452136944431,0.7525883496835453,0.8705084745762712,0.6912963822911111,0.9473916340350091,-0.05753826868930212,-0.16652014945357493,0.03161503445951371,0.0033630526732191246,-0.05166138907851273,0.03825976060270491,,
RECORDED,Bus A to Bus B,Bus A,Bus B,A,CAUSAL,INDUCTIVE_FIXED_TEST,18,False,0,54,7059,12,0,0.0,0.0,0.7607309817254568,0.6796069908834963,0.645492540771352,0.6625595071408569,0.9836296426685442,0.5327801734722879,0.6523193273191539,0.08386638237384506,0.48760330578512395,0.14311704063068525,242,0.9430473372781065,0.6836461126005362,0.7926639726453217,1865,0.83134223471539,0.5507448789571695,0.6625595071408569,2148,0.9711505039972194,0.9964336661911555,0.9836296426685442,2804,0.645492540771352,0.5880824816645694,0.7257299910755959,0.6625595071408569,0.43281620794799963,0.822300212903471,-0.09977873126811654,-0.21025439267946766,-0.003615334335101161,-0.20458591476219523,-0.36173095346473116,-0.07768985119496416,254.0,12.0
RECORDED,Bus A to Bus B,Bus A,Bus B,M,RAW,INDUCTIVE_FIXED_TEST,18,False,0,41,7059,12,0,0.0,0.0,0.4952542853095339,0.43405662733884065,0.3715656557777107,0.004627487274409995,0.9806746310611384,0.16852933068323486,0.22479038837639043,0.030357679591223326,0.41735537190082644,0.05659848697114037,242,0.7208182912154031,0.32117962466487937,0.4443620178041543,1865,0.38461538461538464,0.0023277467411545625,0.004627487274409995,2148,0.9664127423822715,0.9953637660485022,0.9806746310611384,2804,0.3715656557777108,0.34443117665649514,0.40348369337332435,0.004627487274409996,0.0,0.014536475131556604,0.0,0.0,0.0,0.0,0.0,0.0,,
RECORDED,Bus A to Bus B,Bus A,Bus B,M,ZSCORE,INDUCTIVE_FIXED_TEST,18,True,18,41,7059,12,6262,104.36666666666666,197.27287666666666,0.5762855928601784,0.5015162816617891,0.4305417189586357,0.6404251131666995,0.8713256764648628,0.28361373312322663,0.5144950766418612,0.06610995128740431,0.3925619834710744,0.11316259678379988,242,0.30337078651685395,0.057908847184986595,0.09725348941918055,1865,0.5547221275144902,0.7574487895716946,0.6404251131666995,2148,0.9592798971281612,0.7981455064194009,0.8713256764648628,2804,0.43054171895863563,0.3708126337479339,0.4902923718161323,0.6404251131666994,0.3977857462950834,0.7690715320050079,0.058976063180924854,-0.02494758743390809,0.13407299687607124,0.6357976258922894,0.3977857462950834,0.7659894113439335,,
RECORDED,Bus A to Bus B,Bus A,Bus B,M,QUANTILE,INDUCTIVE_FIXED_TEST,18,True,18,41,7059,12,6262,104.36666666666666,197.27287666666666,0.6112763847570477,0.5355676062092343,0.4258643228747625,0.0,0.9660126138752628,0.24581489254126235,0.25551859372485747,0.10022271714922049,0.371900826446281,0.15789473684210525,242,0.4586066854108091,0.7871313672922252,0.5795499407816818,1865,0.0,0.0,0.0,2148,0.9493801652892562,0.9832382310984308,0.9660126138752628,2804,0.4258643228747625,0.3770342014359203,0.5331199931353794,0.0,0.0,0.0,0.05429866709705172,-0.005878541973105051,0.1862402572888014,-0.004627487274409996,-0.014603262409433732,0.0,,
RECORDED,Bus A to Bus B,Bus A,Bus B,M,CORAL,INDUCTIVE_FIXED_TEST,18,True,18,41,7059,12,6262,104.36666666666666,197.27287666666666,0.5306700665816688,0.46716199589907564,0.4046739925240386,0.0,0.9515991106550368,0.22236561981370587,0.24280439551442312,0.03342245989304813,0.4132231404958678,0.06184291898577613,242,0.8727272727272727,0.46327077747989276,0.6052539404553415,1865,0.0,0.0,0.0,2148,0.914229378902399,0.9921540656205421,0.9515991106550368,2804,0.4046739925240386,0.38036138416939536,0.43520950297699484,0.0,0.0,0.0,0.03310833674632779,-0.012362903898486764,0.07692511012244711,-0.004627487274409996,-0.014242967920421281,0.0,,
RECORDED,Bus A to Bus B,Bus A,Bus B,M,CAUSAL,INDUCTIVE_FIXED_TEST,18,False,0,41,7059,12,0,0.0,0.0,0.6136846578835529,0.5731891309914863,0.4530202808791033,0.00176522506619594,0.9829135106570371,0.27638920428645863,0.27251825855394035,0.0670762928827445,0.5413223140495868,0.1193621867881549,242,0.6661938534278959,0.7554959785522788,0.7080402010050251,1865,0.01694915254237288,0.000931098696461825,0.00176522506619594,2148,0.9711103376261747,0.9950071326676176,0.9829135106570371,2804,0.4530202808791033,0.42055112168739456,0.4953893593534618,0.0017652250661959403,0.0,0.00662929542155648,0.08145462510139251,0.03515538445621461,0.13519291338325257,-0.0028622622082140558,-0.013584557979140481,0.005914535531095411,254.0,12.0
