orientation,determinant,note,m_xx,m_xy,m_xz,m_yx,m_yy,m_yz,m_zx,m_zy,m_zz
RECORDED,1.0,Original Bus B coordinate frame; no transform.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
YAW90_LEFT,1.0,"Proper +90 deg yaw about +Z: [x,y,z] -> [-y,x,z], applied to raw ACC/GYR/MAG.",6.123233995736766e-17,-1.0,0.0,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0
