bus_b_orientation,bus_b_orientation_role,orientation_vehicle,direction,source_vehicle,target_vehicle,sensor_config,method,protocol,partition_id,budget_k_days,subset_repeat,uses_target_adaptation,normalizer_fit_days,adaptation_days,test_days,test_rows,test_service_days,adaptation_rows,adaptation_window_hours,adaptation_span_hours,adaptation_hours,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_macro_f1,objective_score,apagado_precision,apagado_recall,apagado_f1,apagado_support,encendido_precision,encendido_recall,encendido_f1,encendido_support,recarga_principal_precision,recarga_principal_recall,recarga_principal_f1,recarga_principal_support,movimiento_precision,movimiento_recall,driving_f1,movimiento_support,stationary_macro_f1,charging_f1,control_role,feature_dimension,source_quantile_n_requested,source_quantile_n_effective,causal_warmup_rows_source,causal_warmup_rows_target,subset_seed_index,subset_rng_seed,subset_attempts,subset_resamples,subset_retained_windows,target_quantile_n_requested,target_quantile_n_effective,coral_n_adaptation_rows,coral_n_features,coral_n_minus_d,coral_rows_per_feature,coral_regularized_cov_min_eigenvalue,coral_regularized_cov_max_eigenvalue,coral_regularized_cov_condition_number
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,1,3,True,1,2025-04-14,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,652,10.866666666666667,18.68358861111111,13.319334999999995,0.5372350403301445,0.4557426449658174,0.3746688538493674,0.0,0.9416463279343243,0.185676362487715,0.2248013123096204,0.1134215500945179,0.5027932960893855,0.1850899742930591,358,0.4216054013503376,0.3327412670219064,0.371939113170086,1689,0.0,0.0,0.0,1135,0.8999151823579304,0.9874360167519776,0.9416463279343243,2149,0.185676362487715,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,3.0,21360915.0,2.0,1.0,652.0,,,652.0,54.0,598.0,12.074074074074074,0.0028467494506381,148517.87851452766,52171039.66815027
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,4,True,1,2025-04-11,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,436,7.266666666666667,12.56836138888889,7.944772777777781,0.8056649784280623,0.7188996062810228,0.715145856930461,0.6827586206896552,0.978098788443616,0.6274948797594092,0.7021909624341387,0.4363636363636363,0.4692737430167598,0.4522207267833109,358,0.7639060568603214,0.7317939609236235,0.7475052918052616,1689,0.6683544303797468,0.6977973568281939,0.6827586206896552,1135,0.9794680354643024,0.9767333643555142,0.978098788443616,2149,0.6274948797594092,0.6827586206896552,ADAPTIVE_BUDGET,54,1000,1000,,,4.0,21360916.0,1.0,0.0,436.0,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,4,True,1,2025-04-11,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,436,7.266666666666667,12.56836138888889,7.944772777777781,0.4440067529544175,0.4430431751664624,0.3551546501193948,0.0,0.7127468581687613,0.2359572474362727,0.2130927900716369,0.1794095382286147,0.6620111731843575,0.2823108993448481,358,0.3447136563876652,0.5559502664298401,0.42556084296397,1689,0.0,0.0,0.0,1135,0.9983235540653814,0.554211261051652,0.7127468581687613,2149,0.2359572474362727,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,4.0,21360916.0,1.0,0.0,436.0,1000.0,436.0,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,1,4,True,1,2025-04-11,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,436,7.266666666666667,12.56836138888889,7.944772777777781,0.4667041830800975,0.501058235597688,0.3631318287704635,0.0017406440382941,0.8573659552316502,0.198387119950068,0.2185753548775958,0.134453781512605,0.9385474860335196,0.2352117605880294,358,0.448,0.2984014209591474,0.3582089552238806,1689,0.0714285714285714,0.0008810572687224,0.0017406440382941,1135,0.9728292971057296,0.7664029781293625,0.8573659552316502,2149,0.198387119950068,0.0017406440382941,ADAPTIVE_BUDGET,54,1000,1000,,,4.0,21360916.0,1.0,0.0,436.0,,,436.0,54.0,382.0,8.074074074074074,0.0023082146164747,110419.4023905523,47837580.44093464
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,5,True,1,2025-06-10,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,744,12.4,14.028731111111112,13.08248055555556,0.5743762896267117,0.5167259816154799,0.4218171829262861,0.0,0.954010219951122,0.2444195039180074,0.2530903097557717,0.1109563602599814,0.6675977653631285,0.1902866242038216,358,0.8439450686641697,0.4002368265245707,0.5429718875502008,1689,0.0,0.0,0.0,1135,0.9128401360544216,0.9990693345742204,0.954010219951122,2149,0.2444195039180074,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,5.0,21360917.0,1.0,0.0,744.0,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,5,True,1,2025-06-10,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,744,12.4,14.028731111111112,13.08248055555556,0.6253986118927031,0.5790304719717281,0.45695366504593,0.0,0.9222174473571122,0.3018657376088693,0.274172199027558,0.1952414275717285,0.7793296089385475,0.3122551762730833,358,0.6610909090909091,0.5381882770870338,0.5933420365535248,1689,0.0,0.0,0.0,1135,0.856686626746507,0.9986040018613308,0.9222174473571122,2149,0.3018657376088693,0.0,ADAPTIVE_BUDGET,54,1000,1000,,,5.0,21360917.0,1.0,0.0,744.0,1000.0,744.0,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,1,5,True,1,2025-06-10,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,744,12.4,14.028731111111112,13.08248055555556,0.4897767773400863,0.4556778542766485,0.3763327802552954,0.0499583680266444,0.8132741294695022,0.2306856638505598,0.2457830153638349,0.1023041474654377,0.6201117318435754,0.175632911392405,358,0.6414507772020726,0.3664890467732386,0.46646571213263,1689,0.4545454545454545,0.026431718061674,0.0499583680266444,1135,0.8169014084507042,0.8096789204281061,0.8132741294695022,2149,0.2306856638505598,0.0499583680266444,ADAPTIVE_BUDGET,54,1000,1000,,,5.0,21360917.0,1.0,0.0,744.0,,,744.0,54.0,690.0,13.77777777777778,4.226948965589841e-05,2214.472042931681,52389372.59377739
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,6,True,1,2025-06-03,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,589,9.816666666666666,13.905689444444446,11.421680833333337,0.6782967548302382,0.6238760735562711,0.5108821415947703,0.0155038759689922,0.9778184312828722,0.3552367116987363,0.312730835344459,0.1644392794886693,0.7905027932960894,0.2722462722462722,358,0.8720588235294118,0.7021906453522795,0.7779599868809446,1689,0.3461538461538461,0.0079295154185022,0.0155038759689922,1135,0.9613309352517986,0.9948813401582132,0.9778184312828722,2149,0.3552367116987363,0.0155038759689922,ADAPTIVE_BUDGET,54,1000,1000,,,6.0,21360918.0,4.0,3.0,589.0,,,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,1,1,6,True,1,2025-06-03,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,589,9.816666666666666,13.905689444444446,11.421680833333337,0.6400300131307447,0.6186063161356204,0.5184676732268785,0.1624203821656051,0.929172857850421,0.381565945019031,0.3760487568023691,0.1700564971751412,0.840782122905028,0.2828947368421052,358,0.7304964539007093,0.6708111308466548,0.6993827160493827,1689,0.8429752066115702,0.0898678414096916,0.1624203821656051,1135,0.9931180518793012,0.8729641693811075,0.929172857850421,2149,0.381565945019031,0.1624203821656051,ADAPTIVE_BUDGET,54,1000,1000,,,6.0,21360918.0,4.0,3.0,589.0,1000.0,589.0,,,,,,,
RECORDED,TARGET,BUS_B,BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,1,1,6,True,1,2025-06-03,2025-04-01|2025-04-03|2025-04-04|2025-04-07|2025-04-25|2025-05-12|2025-05-16|2025-05-28|2025-06-11|2025-06-13|2025-06-17|2025-06-26,5331,12,589,9.816666666666666,13.905689444444446,11.421680833333337,0.6124554492590508,0.512227902805432,0.437468479952373,0.0016992353440951,0.9319027808189184,0.2726570463301912,0.2631607821090618,0.116822429906542,0.4888268156424581,0.1885775862068965,358,0.6999271667880553,0.5689757252812315,0.6276943174395819,1689,0.0238095238095238,0.0008810572687224,0.0016992353440951,1135,0.880066170388751,0.990228013029316,0.9319027808189184,2149,0.2726570463301912,0.0016992353440951,ADAPTIVE_BUDGET,54,1000,1000,,,6.0,21360918.0,4.0,3.0,589.0,,,589.0,54.0,535.0,10.907407407407408,0.0011218897353857,58286.445132735134,51953809.09042041
