contrast,metric,orientation_A,representation_A,orientation_B,representation_B,point_delta_A_minus_B,bootstrap_median,bootstrap_mean,ci_low,ci_high,fraction_delta_gt_0,bootstrap_reps,n_target_days
YAW_AXIS_MINUS_NORM,charging_f1,YAW90_LEFT,LEVEL_AXIS,YAW90_LEFT,LEVEL_NORM,0.10238958710121995,0.09600196326991729,0.08525375132855463,-0.20929387965637758,0.34266163644721165,0.7255,2000,30
YAW_AXIS_MINUS_NORM,driving_f1,YAW90_LEFT,LEVEL_AXIS,YAW90_LEFT,LEVEL_NORM,0.12644633930195948,0.12382043880256094,0.1273624640931317,0.0339997553648312,0.23027484054660796,0.999,2000,30
YAW_AXIS_MINUS_NORM,macro_f1,YAW90_LEFT,LEVEL_AXIS,YAW90_LEFT,LEVEL_NORM,0.06879466700005121,0.06748595161203871,0.06563935606088622,-0.02999851867693761,0.15623402716940102,0.8985,2000,30
YAW_MINUS_REC_AXIS,stationary_macro_f1,YAW90_LEFT,LEVEL_AXIS,RECORDED,LEVEL_AXIS,-0.0602868288388575,-0.06264469622831456,-0.06087883814185722,-0.19582446744627205,0.08961986922795816,0.2065,2000,30
YAW_MINUS_REC_AXIS,charging_f1,YAW90_LEFT,LEVEL_AXIS,RECORDED,LEVEL_AXIS,-0.32623770607724095,-0.3430522337777965,-0.3317018762643239,-0.7583253647770211,0.1758713750083589,0.09,2000,30
YAW_MINUS_REC_AXIS,driving_f1,YAW90_LEFT,LEVEL_AXIS,RECORDED,LEVEL_AXIS,0.0056730383905505555,0.007872202272076412,0.006135728629045231,-0.04860818173027226,0.049258840240934465,0.617,2000,30
YAW_MINUS_REC_AXIS,macro_f1,YAW90_LEFT,LEVEL_AXIS,RECORDED,LEVEL_AXIS,-0.04379686203150546,-0.04471429993871459,-0.044125196449131605,-0.14419796217878447,0.06503545374602492,0.2145,2000,30
YAW_MINUS_REC_NORM,stationary_macro_f1,YAW90_LEFT,LEVEL_NORM,RECORDED,LEVEL_NORM,0.0,0.0,0.0,0.0,0.0,0.0,2000,30
YAW_MINUS_REC_NORM,charging_f1,YAW90_LEFT,LEVEL_NORM,RECORDED,LEVEL_NORM,0.0,0.0,0.0,0.0,0.0,0.0,2000,30
YAW_MINUS_REC_NORM,driving_f1,YAW90_LEFT,LEVEL_NORM,RECORDED,LEVEL_NORM,0.0,0.0,0.0,0.0,0.0,0.0,2000,30
YAW_MINUS_REC_NORM,macro_f1,YAW90_LEFT,LEVEL_NORM,RECORDED,LEVEL_NORM,0.0,0.0,0.0,0.0,0.0,0.0,2000,30
YAW_MINUS_REC_LEVEL15,stationary_macro_f1,YAW90_LEFT,LEVEL_AMPLITUDE,RECORDED,LEVEL_AMPLITUDE,-0.020779702213674922,-0.025425349090342164,-0.02267715292294473,-0.16195491358314734,0.13979149989103218,0.379,2000,30
YAW_MINUS_REC_LEVEL15,charging_f1,YAW90_LEFT,LEVEL_AMPLITUDE,RECORDED,LEVEL_AMPLITUDE,-0.3006733087135874,-0.3157179366394505,-0.30699651492265356,-0.7385081601012757,0.19964617225892028,0.11,2000,30
YAW_MINUS_REC_LEVEL15,driving_f1,YAW90_LEFT,LEVEL_AMPLITUDE,RECORDED,LEVEL_AMPLITUDE,0.007040638337043492,0.008864922393476304,0.007278853369056778,-0.04339638856991936,0.048498880173188236,0.6395,2000,30
YAW_MINUS_REC_LEVEL15,macro_f1,YAW90_LEFT,LEVEL_AMPLITUDE,RECORDED,LEVEL_AMPLITUDE,-0.013824617075995305,-0.016639620718721465,-0.015188151349944357,-0.1202810756450178,0.10397423628418385,0.393,2000,30
YAW_MINUS_REC_VARIABILITY,stationary_macro_f1,YAW90_LEFT,VARIABILITY_DYNAMICS,RECORDED,VARIABILITY_DYNAMICS,0.02144786962201012,0.022004335431405356,0.022398158981607342,0.004242109591428434,0.042369460484591046,0.993,2000,30
YAW_MINUS_REC_VARIABILITY,charging_f1,YAW90_LEFT,VARIABILITY_DYNAMICS,RECORDED,VARIABILITY_DYNAMICS,0.004057032649125223,0.0035608164377434496,0.004177124151571945,-0.0028487852606825003,0.014648034576713145,0.7985,2000,30
YAW_MINUS_REC_VARIABILITY,driving_f1,YAW90_LEFT,VARIABILITY_DYNAMICS,RECORDED,VARIABILITY_DYNAMICS,-0.01875788880284568,-0.018781988153782014,-0.018901587930222636,-0.024662405198374388,-0.014160087783241895,0.0,2000,30
YAW_MINUS_REC_VARIABILITY,macro_f1,YAW90_LEFT,VARIABILITY_DYNAMICS,RECORDED,VARIABILITY_DYNAMICS,0.01139643001579621,0.011779353910655543,0.012073222253649846,-0.00183877044977135,0.02751229531013705,0.957,2000,30
YAW_MINUS_REC_ALL41,stationary_macro_f1,YAW90_LEFT,MAG_ALL,RECORDED,MAG_ALL,0.15803657497363197,0.14651066796652523,0.14891479206263994,0.053817443213708266,0.256868957088869,1.0,2000,30
YAW_MINUS_REC_ALL41,charging_f1,YAW90_LEFT,MAG_ALL,RECORDED,MAG_ALL,0.1711265951312701,0.15724220003843245,0.14903245276881807,-0.018731191830759563,0.43817766403837427,0.6625,2000,30
YAW_MINUS_REC_ALL41,driving_f1,YAW90_LEFT,MAG_ALL,RECORDED,MAG_ALL,-0.01877785404128174,-0.018625073317483753,-0.01890144554345408,-0.027853364545441024,-0.011618800442125604,0.0,2000,30
YAW_MINUS_REC_ALL41,macro_f1,YAW90_LEFT,MAG_ALL,RECORDED,MAG_ALL,0.11383296771990359,0.10498852597817712,0.10696073266111644,0.035482550638180586,0.18820506245352592,1.0,2000,30
