block,representation,n_features,recorded_stationary_state_macro_f1,recorded_stationary_ci_low,recorded_stationary_ci_high,recorded_charging_f1,recorded_charging_ci_low,recorded_charging_ci_high,recorded_driving_f1,yaw90_stationary_state_macro_f1,yaw90_stationary_ci_low,yaw90_stationary_ci_high,yaw90_charging_f1,yaw90_charging_ci_low,yaw90_charging_ci_high,yaw90_driving_f1,delta_yaw_minus_recorded_stationary,delta_yaw_minus_recorded_stationary_ci_low,delta_yaw_minus_recorded_stationary_ci_high,delta_yaw_minus_recorded_charging,delta_yaw_minus_recorded_charging_ci_low,delta_yaw_minus_recorded_charging_ci_high
Level-axis,LEVEL_AXIS,12,0.3772984702723215,0.2850387153739511,0.4414810271287795,0.5989445910290238,0.25114962378664013,0.7979579372942593,0.8408790045009267,0.3170116414334641,0.21456145237433155,0.40414012674459016,0.2727068849517829,0.0,0.5312808110950739,0.8465520428914771,-0.0602868288388575,-0.19582446744627205,0.08961986922795816,-0.32623770607724095,-0.7583253647770211,0.1758713750083589
Level-norm,LEVEL_NORM,3,0.2674341985340491,0.2092781147979378,0.32418490862039206,0.17031729785056296,0.029035826214727667,0.3009750094661111,0.7201057035895178,0.2674341985340491,0.2092781147979378,0.32418490862039206,0.17031729785056296,0.029035826214727667,0.3009750094661111,0.7201057035895178,0.0,0.0,0.0,0.0,0.0,0.0
Level/amplitude (15),LEVEL_AMPLITUDE,15,0.3580285949174993,0.25784363154629714,0.43087085063424335,0.5902640560445482,0.2484215602553777,0.7947068059890261,0.8429314754387512,0.33724889270382435,0.23780293543409306,0.42591282458879254,0.28959074733096085,0.0,0.5369881208873366,0.8499721137757947,-0.020779702213674922,-0.16195491358314734,0.13979149989103218,-0.3006733087135874,-0.7385081601012757,0.19964617225892028
Variability/dynamics,VARIABILITY_DYNAMICS,26,0.26777142790562364,0.23107639114993062,0.3109734801773008,0.008823529411764706,0.002543686508043437,0.016034539856398952,0.9717474712242763,0.28921929752763376,0.25712794888158763,0.3330914037925027,0.01288056206088993,0.002397399494173688,0.02766370062071685,0.9529895824214304,0.02144786962201012,0.004242109591428434,0.042369460484591046,0.004057032649125223,-0.0028487852606825003,0.014648034576713145
All magnetic,MAG_ALL,41,0.20273803691877804,0.17333582315226026,0.24012809708161328,0.008034433285509325,0.0,0.021429957221574637,0.9691025863565353,0.36077461189241,0.266982026171947,0.455957689579109,0.17916102841677944,0.0,0.444359573489578,0.9503247323152536,0.15803657497363197,0.053817443213708266,0.256868957088869,0.1711265951312701,-0.018731191830759563,0.43817766403837427
