model,orientation,A_BMATCHED_source_days,A_BMATCHED_stationary_state_macro_f1,A_BMATCHED_charging_f1,A_BMATCHED_driving_f1,A_DAYMATCHED_source_days,A_DAYMATCHED_stationary_state_macro_f1,A_DAYMATCHED_charging_f1,A_DAYMATCHED_driving_f1,B_FULL_source_days,B_FULL_stationary_state_macro_f1,B_FULL_charging_f1,B_FULL_driving_f1,DAY_EFFECT_SS,DAY_EFFECT_CHARGING
A,RECORDED,245.5,0.5796502090333302,0.7323404722967608,0.9594188610218428,30.0,0.5318920196006637,0.713490523456186,0.960257973073025,30.0,0.3675663566497222,0.0014849034812737,0.9965678907108728,-0.04775818943266652,-0.01884994884057478
A,YAW90_LEFT,245.5,0.5585936303287711,0.7429356184192077,0.9345155845849185,30.0,0.5171997068005733,0.694539620879689,0.9330553766774718,30.0,0.3922913603434717,0.0357868416940146,0.9956735187966552,-0.04139392352819782,-0.04839599753951873
A+M,RECORDED,245.5,0.4664583266934591,0.49812880459996345,0.9575159788005775,30.0,0.5109843829953389,0.6694518450818053,0.9609419474602432,30.0,0.3749897311175412,0.000334196674743,0.9915065928240296,0.04452605630187978,0.17132304048184188
A+M,YAW90_LEFT,245.5,0.6043979589941578,0.7058751121759536,0.9342598498538746,30.0,0.4977086185163273,0.642069179407809,0.9377822636125013,30.0,0.3741668818170947,0.0200625952973276,0.9896569634832096,-0.10668934047783052,-0.0638059327681445
A+M+G,RECORDED,245.5,0.3412406172908051,0.13076193319161966,0.9735809951743208,30.0,0.5036205000642402,0.6302468866131057,0.9750589160263088,30.0,0.3778089772372187,0.0003341129301703,0.9978749580583828,0.16237988277343507,0.499484953421486
A+M+G,YAW90_LEFT,245.5,0.5807289716401882,0.6551844067102788,0.9634008605867975,30.0,0.514293173023286,0.6393410242202141,0.9655682244235259,30.0,0.3686536269744946,0.0031162866983762,0.9976282639339494,-0.06643579861690219,-0.015843382490064672
