model,orientation,a_equal_n_source,a_equal_stationary_state_macro_f1,a_equal_charging_f1,a_equal_driving_f1,a_equal_macro_f1,a_bmatched_n_source,a_bmatched_stationary_state_macro_f1,a_bmatched_charging_f1,a_bmatched_driving_f1,a_bmatched_macro_f1,b_full_n_source,b_full_stationary_state_macro_f1,b_full_charging_f1,b_full_driving_f1,b_full_macro_f1,composition_effect_stationary,composition_effect_charging,vehicle_effect_stationary,vehicle_effect_charging
A,RECORDED,13321,0.5893373316497915,0.7316362451067695,0.9611484917345712,0.6820161265680238,13321,0.5796502090333302,0.7323404722967608,0.9594188610218428,0.6744322115704712,13321,0.36756635664972226,0.0014849034812737172,0.9965678907108728,0.5248167401650099,-0.009687122616461319,0.0007042271899913022,-0.21208385238360794,-0.7308555688154871
A,YAW90_LEFT,13321,0.575559187100995,0.7670198055822932,0.9360154410287815,0.6655472036136783,13321,0.5585936303287711,0.7429356184192077,0.9345155845849185,0.6528336415158011,13321,0.3922913603434717,0.03578684169401469,0.9956735187966553,0.5431368999567676,-0.01696555677222389,-0.02408418716308547,-0.1663022699852994,-0.707148776725193
A+M,RECORDED,13321,0.35091452896124564,0.13643697135316527,0.9573229591260605,0.5026270982400123,13321,0.4664583266934591,0.49812880459996345,0.9575159788005775,0.5888869178513612,13321,0.3749897311175412,0.0003341966747430863,0.9915065928240296,0.5291189465441632,0.11554379773221346,0.3616918332467982,-0.09146859557591791,-0.49779460792522034
A+M,YAW90_LEFT,13321,0.560628733442605,0.5336181010480884,0.9385134573489451,0.6542372352210306,13321,0.6043979589941578,0.7058751121759536,0.9342598498538746,0.6880229089891539,13321,0.37416688181709473,0.02006259529732766,0.9896569634832095,0.5280394022336234,0.043769225551552826,0.17225701112786518,-0.2302310771770631,-0.6858125168786259
A+M+G,RECORDED,13321,0.3074585615408313,0.030033990390829157,0.9780426181751352,0.475914016029159,13321,0.3412406172908052,0.13076193319161966,0.9735809951743208,0.500521567184432,13321,0.3778089772372187,0.0003341129301703976,0.9978749580583828,0.5328254724425097,0.033782055749973894,0.1007279428007905,0.0365683599464135,-0.13042782026144925
A+M+G,YAW90_LEFT,13321,0.621499343389903,0.6586352573145151,0.9662466777377576,0.7065330166017828,13321,0.5807289716401882,0.6551844067102788,0.9634008605867974,0.675239956878743,13321,0.36865362697449466,0.0031162866983762507,0.9976282639339494,0.5258972862143584,-0.04077037174971476,-0.003450850604236333,-0.21207534466569355,-0.6520681200119025
